id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
gakty_train	gakty	saimpoo	saimpoo.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
kogdu_train	kogdu	mahsloh	mahsloh.wav	train	16	1	1	1	4	1	1	1	rsrrs	b2
digko_train	digko	leesmah	leesmah.wav	train	4	1	1	1	1	4	1	1	rsrrs	b2
gobgo_train	gobgo	sahtsah	sahtsah.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
tabpa_train	tabpa	paitkai	paitkai.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
kipky_train	kipky	meekmoo	meekmoo.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
bukpy_train	bukpy	tohmkoo	tohmkoo.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
kygti_train	kygti	moospee	moospee.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
petdo_train	petdo	keiplah	keiplah.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
dedte_train	dedte	leilpei	leilpei.wav	train	4	1	1	1	1	1	0	0	rsrrs	b2
dypga_train	dypga	looksai	looksai.wav	train	16	1	1	1	4	1	1	1	rsrrs	b2
pydgu_train	pydgu	koolsoh	koolsoh.wav	train	4	1	1	1	1	4	1	1	rsrrs	b2
batpi_train	batpi	taipkee	taipkee.wav	train	16	1	1	1	4	1	1	1	rsrrs	b2
gutbi_train	gutbi	sohptee	sohptee.wav	train	4	1	1	1	1	4	1	1	rsrrs	b2
tokde_train	tokde	pahmlei	pahmlei.wav	train	4	1	1	1	1	4	1	1	rsrrs	b2
tibke_train	tibke	peetmei	peetmei.wav	train	16	1	1	1	4	1	1	1	rsrrs	b2
pudbu_train	pudbu	kohltoh	kohltoh.wav	train	16	1	1	1	4	1	1	1	rsrrs	b2
bepba_train	bepba	teiktai	teiktai.wav	train	4	1	1	1	1	4	1	1	rsrrs	b2
gikto_train	gikto	seempah	seempah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
kagdy_train	kagdy	maisloo	maisloo.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
gyktu_train	gyktu	soompoh	soompoh.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
dapgy_train	dapgy	laiksoo	laiksoo.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
gekta_train	gekta	seimpai	seimpai.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
padby_train	padby	kailtoo	kailtoo.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
kugdi_train	kugdi	mohslee	mohslee.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
bitpo_train	bitpo	teepkah	teepkah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
kegda_train	kegda	meislai	meislai.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
pidbo_train	pidbo	keeltah	keeltah.wav	train	16	1	1	1	4	4	1	1	rsrrs	b2
